,"Agriculture, Hunting, Forestry and Fishing","Mining and Quarrying","Food, Beverages and Tobacco","Textiles and Textile Products","Leather, Leather and Footwear","Wood and Products of Wood and Cork","Pulp, Paper, Paper , Printing and Publishing","Coke, Refined Petroleum and Nuclear Fuel","Chemicals and Chemical Products","Rubber and Plastics","Other Non-Metallic Mineral","Basic Metals and Fabricated Metal","Machinery, Nec","Electrical and Optical Equipment","Transport Equipment","Manufacturing, Nec; Recycling","Electricity, Gas and Water Supply","Construction","Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel","Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles","Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods","Hotels and Restaurants","Inland Transport","Water Transport","Air Transport","Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies","Post and Telecommunications","Financial Intermediation","Real Estate Activities","Renting of M&Eq and Other Business Activities","Public Admin and Defence; Compulsory Social Security","Education","Health and Social Work","Other Community, Social and Personal Services"
"Agriculture, Hunting, Forestry and Fishing","1,1096","0,0077","0,4115","0,0282","0,0599","0,1135","0,0453","0,0764","0,0178","0,0180","0,0139","0,0054","0,0052","0,0065","0,0057","0,0228","0,0040","0,0082","0,0031","0,0031","0,0031","0,1678","0,0104","0,0104","0,0104","0,0104","0,0135","0,0033","0,0006","0,0096","0,0088","0,0081","0,0113","0,0094"
"Mining and Quarrying","0,0119","1,0406","0,0102","0,0060","0,0098","0,0091","0,0089","0,3455","0,0383","0,0155","0,0531","0,0417","0,0177","0,0167","0,0120","0,0100","0,0178","0,0209","0,0052","0,0052","0,0052","0,0066","0,0120","0,0120","0,0120","0,0120","0,0156","0,0027","0,0012","0,0112","0,0060","0,0037","0,0071","0,0109"
"Food, Beverages and Tobacco","0,0619","0,0079","1,1732","0,0052","0,1359","0,0099","0,0096","0,0171","0,0201","0,0088","0,0070","0,0047","0,0045","0,0048","0,0048","0,0076","0,0048","0,0046","0,0032","0,0032","0,0032","0,3492","0,0121","0,0121","0,0121","0,0121","0,0158","0,0031","0,0004","0,0113","0,0147","0,0135","0,0175","0,0110"
"Textiles and Textile Products","0,0044","0,0129","0,0070","1,3977","0,0524","0,0026","0,0109","0,0072","0,0075","0,0203","0,0156","0,0042","0,0079","0,0048","0,0069","0,0481","0,0023","0,0093","0,0046","0,0046","0,0046","0,0163","0,0139","0,0139","0,0139","0,0139","0,0181","0,0053","0,0005","0,0129","0,0034","0,0026","0,0172","0,0126"
"Leather, Leather and Footwear","0,0001","0,0003","0,0002","0,0012","1,2845","0,0001","0,0007","0,0002","0,0002","0,0002","0,0001","0,0005","0,0008","0,0006","0,0011","0,0003","0,0001","0,0001","0,0001","0,0001","0,0001","0,0004","0,0004","0,0004","0,0004","0,0004","0,0005","0,0001","0,0000","0,0004","0,0001","0,0001","0,0002","0,0004"
"Wood and Products of Wood and Cork","0,0030","0,0018","0,0025","0,0013","0,0033","1,2338","0,0078","0,0012","0,0054","0,0028","0,0181","0,0045","0,0044","0,0083","0,0045","0,1299","0,0006","0,0337","0,0012","0,0012","0,0012","0,0012","0,0016","0,0016","0,0016","0,0016","0,0020","0,0018","0,0008","0,0014","0,0013","0,0028","0,0015","0,0014"
"Pulp, Paper, Paper , Printing and Publishing","0,0055","0,0189","0,0187","0,0154","0,0405","0,0193","1,2096","0,0122","0,0241","0,0372","0,0214","0,0147","0,0167","0,0190","0,0169","0,0331","0,0085","0,0109","0,0148","0,0148","0,0148","0,0111","0,0425","0,0425","0,0425","0,0425","0,0553","0,0328","0,0035","0,0395","0,0144","0,0130","0,0209","0,0385"
"Coke, Refined Petroleum and Nuclear Fuel","0,0238","0,0390","0,0235","0,0162","0,0211","0,0241","0,0186","1,1785","0,0768","0,0354","0,0478","0,0234","0,0240","0,0395","0,0192","0,0170","0,0235","0,0221","0,0158","0,0158","0,0158","0,0170","0,0375","0,0375","0,0375","0,0375","0,0488","0,0077","0,0029","0,0349","0,0174","0,0093","0,0164","0,0339"
"Chemicals and Chemical Products","0,0748","0,0280","0,0453","0,0436","0,0942","0,0330","0,0675","0,0232","1,1725","0,2314","0,0506","0,0561","0,0385","0,0386","0,0394","0,0714","0,0147","0,0354","0,0045","0,0045","0,0045","0,0263","0,0127","0,0127","0,0127","0,0127","0,0165","0,0051","0,0017","0,0118","0,0091","0,0088","0,0696","0,0115"
"Rubber and Plastics","0,0074","0,0195","0,0236","0,0110","0,0394","0,0159","0,0315","0,0120","0,0181","1,0623","0,0099","0,0261","0,0374","0,0278","0,0756","0,0465","0,0067","0,0347","0,0083","0,0083","0,0083","0,0110","0,0145","0,0145","0,0145","0,0145","0,0189","0,0036","0,0023","0,0135","0,0037","0,0038","0,0180","0,0131"
"Other Non-Metallic Mineral","0,0021","0,0087","0,0048","0,0010","0,0052","0,0018","0,0026","0,0043","0,0093","0,0034","1,0895","0,0096","0,0097","0,0106","0,0141","0,0215","0,0010","0,1215","0,0010","0,0010","0,0010","0,0019","0,0024","0,0024","0,0024","0,0024","0,0031","0,0015","0,0025","0,0022","0,0028","0,0048","0,0116","0,0022"
"Basic Metals and Fabricated Metal","0,0095","0,0759","0,0273","0,0067","0,0287","0,0292","0,0276","0,0353","0,0303","0,0385","0,0390","1,2818","0,2823","0,1286","0,1621","0,0828","0,0114","0,0842","0,0061","0,0061","0,0061","0,0121","0,0106","0,0106","0,0106","0,0106","0,0138","0,0037","0,0024","0,0099","0,0089","0,0067","0,0135","0,0096"
"Machinery, Nec","0,0020","0,0365","0,0081","0,0092","0,0100","0,0125","0,0102","0,0176","0,0116","0,0142","0,0199","0,0222","1,0535","0,0120","0,0275","0,0097","0,0039","0,0163","0,0013","0,0013","0,0013","0,0043","0,0037","0,0037","0,0037","0,0037","0,0048","0,0010","0,0011","0,0035","0,0020","0,0042","0,0032","0,0034"
"Electrical and Optical Equipment","0,0030","0,0253","0,0075","0,0043","0,0108","0,0064","0,0090","0,0141","0,0099","0,0153","0,0156","0,0138","0,0626","1,2451","0,0431","0,0197","0,0362","0,0213","0,0049","0,0049","0,0049","0,0042","0,0175","0,0175","0,0175","0,0175","0,0227","0,0039","0,0013","0,0162","0,0061","0,0037","0,0102","0,0158"
"Transport Equipment","0,0029","0,0122","0,0065","0,0047","0,0072","0,0049","0,0064","0,0081","0,0070","0,0097","0,0078","0,0091","0,0367","0,0138","1,2836","0,0063","0,0053","0,0081","0,0135","0,0135","0,0135","0,0043","0,0248","0,0248","0,0248","0,0248","0,0322","0,0034","0,0015","0,0230","0,0052","0,0031","0,0050","0,0224"
"Manufacturing, Nec; Recycling","0,0010","0,0026","0,0020","0,0053","0,0057","0,0044","0,0037","0,0016","0,0020","0,0037","0,0024","0,0058","0,0036","0,0030","0,0119","1,0311","0,0010","0,0049","0,0011","0,0011","0,0011","0,0011","0,0050","0,0050","0,0050","0,0050","0,0065","0,0096","0,0006","0,0046","0,0021","0,0120","0,0015","0,0045"
"Electricity, Gas and Water Supply","0,0127","0,0470","0,0237","0,0279","0,0296","0,0308","0,0380","0,0296","0,0354","0,0391","0,0610","0,0731","0,0359","0,0310","0,0379","0,0267","1,2368","0,0228","0,0207","0,0207","0,0207","0,0216","0,0214","0,0214","0,0214","0,0214","0,0278","0,0110","0,0015","0,0199","0,0222","0,0205","0,0249","0,0193"
"Construction","0,0009","0,0139","0,0022","0,0017","0,0025","0,0021","0,0029","0,0064","0,0035","0,0030","0,0058","0,0030","0,0031","0,0056","0,0097","0,0021","0,0015","1,0349","0,0021","0,0021","0,0021","0,0016","0,0055","0,0055","0,0055","0,0055","0,0072","0,0087","0,0210","0,0051","0,0168","0,0316","0,0158","0,0050"
"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel","0,0116","0,0140","0,0216","0,0153","0,0272","0,0099","0,0176","0,0218","0,0228","0,0240","0,0183","0,0136","0,0158","0,0202","0,0177","0,0156","0,0062","0,0138","1,0057","0,0057","0,0057","0,0187","0,0118","0,0118","0,0118","0,0118","0,0154","0,0047","0,0010","0,0110","0,0050","0,0048","0,0115","0,0107"
"Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles","0,0214","0,0258","0,0399","0,0282","0,0502","0,0182","0,0325","0,0402","0,0421","0,0443","0,0337","0,0251","0,0291","0,0373","0,0327","0,0288","0,0114","0,0254","0,0105","1,0105","0,0105","0,0345","0,0218","0,0218","0,0218","0,0218","0,0283","0,0087","0,0018","0,0203","0,0092","0,0089","0,0212","0,0197"
"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods","0,0379","0,0457","0,0706","0,0499","0,0889","0,0322","0,0575","0,0712","0,0744","0,0785","0,0597","0,0444","0,0514","0,0660","0,0578","0,0510","0,0201","0,0450","0,0186","0,0186","1,0186","0,0610","0,0386","0,0386","0,0386","0,0386","0,0502","0,0153","0,0031","0,0359","0,0163","0,0158","0,0374","0,0349"
"Hotels and Restaurants","0,0007","0,0086","0,0019","0,0008","0,0015","0,0025","0,0023","0,0043","0,0022","0,0025","0,0046","0,0024","0,0016","0,0021","0,0029","0,0021","0,0010","0,0029","0,0019","0,0019","0,0019","1,0028","0,0056","0,0056","0,0056","0,0056","0,0072","0,0032","0,0002","0,0052","0,0078","0,0049","0,0172","0,0050"
"Inland Transport","0,0109","0,0448","0,0235","0,0138","0,0271","0,0147","0,0278","0,0306","0,0282","0,0260","0,0266","0,0230","0,0253","0,0312","0,0296","0,0164","0,0200","0,0172","0,0220","0,0220","0,0220","0,0167","1,0375","0,0375","0,0375","0,0375","0,0487","0,0249","0,0025","0,0348","0,0255","0,0194","0,0278","0,0339"
"Water Transport","0,0009","0,0039","0,0020","0,0012","0,0023","0,0013","0,0024","0,0026","0,0024","0,0022","0,0023","0,0020","0,0022","0,0027","0,0025","0,0014","0,0017","0,0015","0,0019","0,0019","0,0019","0,0014","0,0032","1,0032","0,0032","0,0032","0,0042","0,0021","0,0002","0,0030","0,0022","0,0017","0,0024","0,0029"
"Air Transport","0,0014","0,0058","0,0030","0,0018","0,0035","0,0019","0,0036","0,0040","0,0037","0,0034","0,0034","0,0030","0,0033","0,0040","0,0038","0,0021","0,0026","0,0022","0,0028","0,0028","0,0028","0,0022","0,0048","0,0048","1,0048","0,0048","0,0063","0,0032","0,0003","0,0045","0,0033","0,0025","0,0036","0,0044"
"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies","0,0049","0,0201","0,0106","0,0062","0,0122","0,0066","0,0125","0,0138","0,0127","0,0117","0,0120","0,0104","0,0114","0,0140","0,0133","0,0074","0,0090","0,0077","0,0099","0,0099","0,0099","0,0075","0,0168","0,0168","0,0168","1,0168","0,0219","0,0112","0,0011","0,0156","0,0115","0,0087","0,0125","0,0152"
"Post and Telecommunications","0,0038","0,0155","0,0081","0,0048","0,0094","0,0051","0,0096","0,0106","0,0098","0,0090","0,0092","0,0080","0,0088","0,0108","0,0102","0,0057","0,0069","0,0059","0,0076","0,0076","0,0076","0,0058","0,0130","0,0130","0,0130","0,0130","1,0169","0,0086","0,0009","0,0120","0,0088","0,0067","0,0096","0,0117"
"Financial Intermediation","0,0260","0,0780","0,0573","0,0450","0,0644","0,0462","0,0738","0,0508","0,0753","0,0677","0,0658","0,0805","0,0820","0,0868","0,0996","0,0463","0,0439","0,0364","0,0405","0,0405","0,0405","0,0361","0,0462","0,0462","0,0462","0,0462","0,0600","1,1886","0,0065","0,0429","0,1400","0,0174","0,0269","0,0417"
"Real Estate Activities","0,0040","0,0388","0,0083","0,0073","0,0101","0,0055","0,0110","0,0253","0,0107","0,0109","0,0107","0,0096","0,0100","0,0101","0,0091","0,0084","0,0084","0,0120","0,0269","0,0269","0,0269","0,0145","0,0204","0,0204","0,0204","0,0204","0,0266","0,0100","1,0024","0,0190","0,0113","0,0128","0,0179","0,0185"
"Renting of M&Eq and Other Business Activities","0,0269","0,1102","0,0579","0,0339","0,0667","0,0362","0,0685","0,0754","0,0695","0,0640","0,0655","0,0567","0,0624","0,0769","0,0728","0,0404","0,0493","0,0423","0,0541","0,0541","0,0541","0,0411","0,0922","0,0922","0,0922","0,0922","0,1199","0,0614","0,0062","1,0857","0,0629","0,0479","0,0684","0,0834"
"Public Admin and Defence; Compulsory Social Security","0,0014","0,0051","0,0031","0,0019","0,0033","0,0020","0,0049","0,0035","0,0039","0,0037","0,0038","0,0037","0,0028","0,0032","0,0038","0,0022","0,0060","0,0023","0,0028","0,0028","0,0028","0,0021","0,0044","0,0044","0,0044","0,0044","0,0057","0,0034","0,0004","0,0041","1,0027","0,0023","0,0037","0,0040"
"Education","0,0001","0,0009","0,0003","0,0002","0,0004","0,0002","0,0004","0,0006","0,0005","0,0004","0,0004","0,0003","0,0004","0,0004","0,0004","0,0003","0,0003","0,0003","0,0006","0,0006","0,0006","0,0004","0,0006","0,0006","0,0006","0,0006","0,0007","0,0018","0,0001","0,0005","0,0011","1,0010","0,0015","0,0005"
"Health and Social Work","0,0003","0,0010","0,0006","0,0004","0,0008","0,0003","0,0006","0,0009","0,0007","0,0008","0,0006","0,0005","0,0005","0,0006","0,0005","0,0005","0,0003","0,0005","0,0006","0,0006","0,0006","0,0007","0,0006","0,0006","0,0006","0,0006","0,0008","0,0003","0,0001","0,0006","0,0003","0,0003","1,0006","0,0005"
"Other Community, Social and Personal Services","0,0170","0,0697","0,0366","0,0214","0,0422","0,0229","0,0433","0,0477","0,0440","0,0405","0,0414","0,0359","0,0395","0,0486","0,0460","0,0255","0,0312","0,0267","0,0342","0,0342","0,0342","0,0260","0,0583","0,0583","0,0583","0,0583","0,0758","0,0388","0,0039","0,0542","0,0398","0,0303","0,0433","1,0527"
